code,stint,compound ,raceid 
GRO,1,C2,1042
MAG,1,C1,1042
STR,2,C1,1042
HAM,2,C1,1042
LAT,2,C1,1042
GAS,2,C2,1042
SAI,2,C2,1042
PER,2,C2,1042
OCO,2,C3,1042
RIC,2,C2,1042
VET,2,C1,1042
BOT,2,C1,1042
RAI,2,C2,1042
KVY,2,C1,1042
VER,2,C2,1042
ALB,2,C2,1042
NOR,2,C1,1042
RUS,2,C1,1042
LEC,2,C1,1042
GIO,2,C1,1042
GRO,2,C1,1042
MAG,2,C1,1042
STR,3,C3,1042
PER,3,C3,1042
KVY,3,C3,1042
ALB,3,C3,1042
NOR,3,C2,1042
HAM,1,C3,1043
BOT,1,C3,1043
RIC,1,C4,1043
KVY,1,C4,1043
LEC,1,C4,1043
PER,1,C3,1043
SAI,1,C4,1043
NOR,1,C4,1043
RAI,1,C3,1043
GIO,1,C4,1043
LAT,1,C3,1043
VET,1,C3,1043
STR,1,C3,1043
GRO,1,C3,1043
ALB,1,C4,1043
RUS,1,C3,1043
VER,1,C3,1043
MAG,1,C3,1043
OCO,1,C3,1043
GAS,1,C4,1043
HAM,2,C2,1043
BOT,2,C2,1043
RIC,2,C2,1043
KVY,2,C2,1043
LEC,2,C2,1043
PER,2,C2,1043
SAI,2,C3,1043
NOR,2,C3,1043
RAI,2,C4,1043
GIO,2,C3,1043
LAT,2,C2,1043
VET,2,C2,1043
STR,2,C2,1043
GRO,2,C2,1043
ALB,2,C2,1043
RUS,2,C2,1043
VER,2,C2,1043
MAG,2,C2,1043
OCO,2,C2,1043
HAM,3,C4,1043
BOT,3,C4,1043
KVY,3,C4,1043
PER,3,C4,1043
SAI,3,C4,1043
NOR,3,C4,1043
VET,3,C4,1043
STR,3,C3,1043
GRO,3,C4,1043
ALB,3,C4,1043
STR,4,C4,1043
GIO,1,WET,1044
LAT,1,INTER,1044
GRO,1,WET,1044
MAG,1,WET,1044
HAM,1,WET,1044
OCO,1,WET,1044
KVY,1,WET,1044
GAS,1,WET,1044
PER,1,WET,1044
VET,1,WET,1044
LEC,1,WET,1044
SAI,1,WET,1044
VER,1,WET,1044
ALB,1,WET,1044
BOT,1,WET,1044
NOR,1,WET,1044
STR,1,WET,1044
RAI,1,WET,1044
RIC,1,WET,1044
RUS,1,INTER,1044
GIO,2,INTER,1044
LAT,2,INTER,1044
GRO,2,INTER,1044
MAG,2,INTER,1044
HAM,2,INTER,1044
OCO,2,WET,1044
KVY,2,INTER,1044
GAS,2,INTER,1044
PER,2,INTER,1044
VET,2,INTER,1044
LEC,2,INTER,1044
SAI,2,INTER,1044
VER,2,INTER,1044
ALB,2,INTER,1044
BOT,2,INTER,1044
NOR,2,INTER,1044
STR,2,INTER,1044
RAI,2,INTER,1044
RIC,2,INTER,1044
RUS,2,INTER,1044
LAT,3,INTER,1044
GRO,3,INTER,1044
MAG,3,INTER,1044
OCO,3,INTER,1044
GAS,3,INTER,1044
VET,3,INTER,1044
LEC,3,INTER,1044
SAI,3,INTER,1044
VER,3,INTER,1044
ALB,3,INTER,1044
BOT,3,INTER,1044
NOR,3,INTER,1044
STR,3,INTER,1044
RAI,3,INTER,1044
RIC,3,INTER,1044
RUS,3,INTER,1044
VER,4,INTER,1044
RAI,4,INTER,1044
HAM,1,EXCLUDE,1045
VER,1,EXCLUDE,1045
ALB,1,EXCLUDE,1045
GAS,1,EXCLUDE,1045
RIC,1,EXCLUDE,1045
BOT,1,EXCLUDE,1045
NOR,1,EXCLUDE,1045
OCO,1,EXCLUDE,1045
SAI,1,EXCLUDE,1045
LEC,1,EXCLUDE,1045
GIO,1,EXCLUDE,1045
VET,1,EXCLUDE,1045
LAT,1,EXCLUDE,1045
RUS,1,EXCLUDE,1045
KVY,1,EXCLUDE,1045
RAI,1,EXCLUDE,1045
MAG,1,EXCLUDE,1045
PER,1,EXCLUDE,1045
STR,1,EXCLUDE,1045
PER,1,C4,1046
OCO,1,C3,1046
STR,1,C4,1046
SAI,1,C4,1046
RIC,1,C4,1046
ALB,1,C3,1046
KVY,1,C4,1046
BOT,1,C3,1046
RUS,1,C3,1046
NOR,1,C4,1046
GAS,1,C4,1046
VET,1,C3,1046
GIO,1,C3,1046
RAI,1,C3,1046
MAG,1,C4,1046
AIT,1,C3,1046
FIT,1,C4,1046
LAT,1,C4,1046
PER,2,C3,1046
OCO,2,C2,1046
