code,constructorRef,circuit,gp,raceid,position,tm,ms,seconds,lap,stop,duration,box_time,box_seconds,accumulated,stint,compound,distance,stint_lap,stint_distance
ALB,red_bull,Autodromo Nazionale di Monza,Italian Grand Prix,1038,15,1:34.938,94938,94,1,,,,,,1,C4,5.793,1,5.793
ALB,red_bull,Autodromo Internazionale del Mugello,Tuscan Grand Prix,1039,4,1:52.724,112724,112,1,,,,,,1,C4,5.245,1,5.245
ALB,red_bull,Sochi Autodrom,Russian Grand Prix,1040,17,2:35.760,155760,155,1,1,30.211,30211,30,,1,C5,5.848,1,5.848
ALB,red_bull,Nürburgring,Eifel Grand Prix,1041,6,1:39.301,99301,99,1,,,,,,1,C4,5.148,1,5.148
ALB,red_bull,Autódromo Internacional do Algarve,Portuguese Grand Prix,1042,9,1:40.073,100073,100,1,,,,,,1,C3,4.653,1,4.653
ALB,red_bull,Autodromo Enzo e Dino Ferrari,Emilia Romagna Grand Prix,1043,7,1:27.853,87853,87,1,,,,,,1,C4,4.909,1,4.909
ALB,red_bull,Istanbul Park,Turkish Grand Prix,1044,5,2:11.074,131074,131,1,,,,,,1,WET,5.338,1,5.338
ALB,red_bull,Bahrain International Circuit,Bahrain Grand Prix,1045,4,2:16.507,136507,136,1,1,19:21.607,1161607,1161,,1,EXCLUDE,5.412,1,5.412
ALB,red_bull,Yas Marina Circuit,Abu Dhabi Grand Prix,1047,5,1:48.734,108734,108,1,,,,,,1,C5,5.554,1,5.554
ALB,red_bull,Bahrain International Circuit,Sakhir Grand Prix,1046,12,1:33.111,93111,93,2,,,,,92043,1,C3,7.086,2,7.086
ALB,red_bull,Red Bull Ring,Austrian Grand Prix,1031,4,1:10.362,70362,70,2,,,,,75104,1,C4,8.636,2,8.636
ALB,red_bull,Red Bull Ring,Styrian Grand Prix,1032,5,2:00.714,120714,120,2,,,,,87279,1,C4,8.636,2,8.636
ALB,red_bull,Hungaroring,Hungarian Grand Prix,1033,11,1:36.192,96192,96,2,,,,,107561,1,INTER,8.762,2,8.762
ALB,red_bull,Silverstone Circuit,British Grand Prix,1034,12,2:12.634,132634,132,2,,,,,103077,1,C2,11.782,2,11.782
ALB,red_bull,Silverstone Circuit,70th Anniversary Grand Prix,1035,9,1:34.083,94083,94,2,,,,,99919,1,C3,11.782,2,11.782
ALB,red_bull,Circuit de Barcelona-Catalunya,Spanish Grand Prix,1036,6,1:25.396,85396,85,2,,,,,91211,1,C3,9.31,2,9.31
ALB,red_bull,Circuit de Spa-Francorchamps,Belgian Grand Prix,1037,6,1:51.996,111996,111,2,,,,,117297,1,C4,14.008,2,14.008
ALB,red_bull,Autodromo Nazionale di Monza,Italian Grand Prix,1038,15,1:28.308,88308,88,2,,,,,94938,1,C4,11.586,2,11.586
ALB,red_bull,Autodromo Internazionale del Mugello,Tuscan Grand Prix,1039,4,2:25.960,145960,145,2,,,,,112724,1,C4,10.49,2,10.49
ALB,red_bull,Sochi Autodrom,Russian Grand Prix,1040,17,3:03.958,183958,183,2,,,,,311520,2,C3,11.696,1,5.848
ALB,red_bull,Nürburgring,Eifel Grand Prix,1041,6,1:34.815,94815,94,2,,,,,99301,1,C4,10.296,2,10.296
