DriverNumber,LapNumber,soft_compound,medium_compound,hard_compound,tyrelife,last_lap_delta,faster_than_last,faster_than_avg,rolling_lt_avg,rolling_fastest_lap,faster_than_avg,new_fastest_l,new_fastest_l_sum,faster_avg_sum,faster_last_sum,laptime
18,4,0,0,1,4.0,-0.620999999999995,1,1,110.4635,109.532,1,1,2,2,2,108.911
18,5,0,0,1,5.0,-0.0490000000000066,1,1,109.946,108.911,1,1,3,3,3,108.862
18,6,0,0,1,6.0,-0.352999999999994,1,1,109.675,108.862,1,1,4,4,4,108.509
18,7,0,0,1,7.0,-0.275999999999996,1,1,109.4418,108.509,1,1,5,5,5,108.233
18,8,0,0,1,8.0,0.0819999999999936,0,1,109.240333333333,108.233,1,0,5,6,5,108.315
18,9,0,0,1,9.0,-0.307999999999993,1,1,109.108142857143,108.233,1,1,6,7,6,108.007
18,10,0,0,1,10.0,0.174999999999997,0,1,108.9705,108.007,1,0,6,8,6,108.182
18,11,0,0,1,11.0,-0.0960000000000036,1,1,108.882888888889,108.007,1,0,6,9,7,108.086
22,3,1,0,0,9.0,-1.53699999999999,1,1,110.071,110.071,1,1,1,1,1,108.534
22,4,1,0,0,10.0,0.463999999999999,0,1,109.3025,108.534,1,0,1,2,1,108.998
22,5,1,0,0,11.0,-0.856000000000009,1,1,109.201,108.534,1,1,2,3,2,108.142
22,6,1,0,0,12.0,0.552999999999997,0,1,108.93625,108.142,1,0,2,4,2,108.695
22,7,1,0,0,13.0,0.215000000000003,0,0,108.888,108.142,0,0,2,4,2,108.91
22,8,1,0,0,14.0,-0.572000000000003,1,1,108.891666666667,108.142,1,0,2,5,3,108.338
22,9,1,0,0,15.0,3.03800000000001,0,0,108.812571428571,108.142,0,0,2,5,3,111.376
22,10,0,0,1,1.0,13.943,0,0,109.133,108.142,0,0,2,5,3,125.319
22,11,0,0,1,2.0,-17.339,1,1,110.931444444444,108.142,1,1,3,6,4,107.98
31,3,1,0,0,3.0,19.956,0,0,110.85,110.85,0,0,0,0,0,130.806
33,3,1,0,0,4.0,-1.50999999999999,1,1,109.55,109.55,1,1,1,1,1,108.04
33,4,1,0,0,5.0,-0.214000000000013,1,1,108.795,108.04,1,1,2,2,2,107.826
33,5,1,0,0,6.0,-0.718999999999994,1,1,108.472,107.826,1,1,3,3,3,107.107
33,6,1,0,0,7.0,0.441000000000003,0,1,108.13075,107.107,1,0,3,4,3,107.548
33,7,1,0,0,8.0,-0.329999999999998,1,1,108.0142,107.107,1,0,3,5,4,107.218
33,8,1,0,0,9.0,-0.0690000000000026,1,1,107.8815,107.107,1,0,3,6,5,107.149
33,9,1,0,0,10.0,-0.0240000000000009,1,1,107.776857142857,107.107,1,0,3,7,6,107.125
33,10,1,0,0,11.0,0.170000000000002,0,1,107.695375,107.107,1,0,3,8,6,107.295
