LapNumber,soft_compound,medium_compound,hard_compound,tyrelife,last_lap_delta,rolling_lt_avg,rolling_fastest_lap,faster_than_avg,new_fastest_lap,laptime
15,0,0,1,6,0.402,111.3171538,108.134,1,0,108.536
16,0,0,1,7,-0.473,111.1185,108.134,1,1,108.063
17,0,0,1,8,-0.195,110.9148,108.063,1,1,107.868
18,0,0,1,9,0.072,110.724375,107.868,1,0,107.94
19,0,0,1,10,-0.186,110.5605882,107.868,1,1,107.754
20,0,0,1,11,0.266,110.4046667,107.754,1,0,108.02
21,0,0,1,12,-0.416,110.2791579,107.754,1,1,107.604
22,0,0,1,13,0.086,110.1454,107.604,1,0,107.69
23,0,0,1,14,-0.21,110.0284762,107.604,1,1,107.48
24,0,0,1,15,0.474,109.9126364,107.48,1,0,107.954
25,0,0,1,16,-0.158,109.8274783,107.48,1,0,107.796
26,0,0,1,17,-0.16,109.7428333,107.48,1,0,107.636
27,0,0,1,18,-0.076,109.65856,107.48,1,0,107.56
28,0,0,1,19,0.089,109.5778462,107.48,1,0,107.649
29,0,0,1,20,-0.026,109.5064074,107.48,1,0,107.623
30,0,0,1,21,20.867,109.4391429,107.48,0,0,128.49
31,0,0,1,22,15.769,110.096069,107.48,0,0,144.259
32,0,0,1,23,-11.414,111.2348333,107.48,0,0,132.845
36,0,0,1,27,-15.544,111.9319355,107.48,0,0,117.301
37,0,0,1,28,-7.731,112.0997188,107.48,1,0,109.57
38,0,0,1,29,-0.903,112.0230606,107.48,1,0,108.667
39,0,0,1,30,-0.055,111.9243529,107.48,1,0,108.612
40,0,0,1,31,-0.932,111.8297143,107.48,1,0,107.68
41,0,0,1,32,-0.134,111.7144444,107.48,1,0,107.546
42,0,0,1,33,-0.938,111.6017838,107.48,1,1,106.608
43,0,0,1,34,0.49,111.4703684,106.608,1,0,107.098
44,0,0,1,35,-0.021,111.3582564,106.608,1,0,107.077
45,0,0,1,36,-0.332,111.251225,106.608,1,0,106.745
46,0,0,1,37,4.628,111.1413171,106.608,0,0,111.373
47,0,0,1,38,25.176,111.1468333,106.608,0,0,136.549
50,1,0,0,2,-19.637,111.7375814,106.608,0,0,116.912
51,1,0,0,3,-9.581,111.8551818,106.608,1,0,107.331
3,0,1,0,3,0.318,111.655,111.655,0,0,111.973
4,0,1,0,4,-1.718,111.814,111.655,1,1,110.255
5,0,1,0,5,-1.39,111.2943333,110.255,1,1,108.865
6,0,1,0,6,0.159,110.687,108.865,1,0,109.024
7,0,1,0,7,-0.239,110.3544,108.865,1,1,108.785
8,0,1,0,8,-0.218,110.0928333,108.785,1,1,108.567
9,0,1,0,9,-0.068,109.8748571,108.567,1,1,108.499
10,0,1,0,10,0.786,109.702875,108.499,1,0,109.285
11,0,1,0,11,0.066,109.6564444,108.499,1,0,109.351
12,0,1,0,12,-0.088,109.6259,108.499,1,0,109.263
13,0,1,0,13,4.887,109.5929091,108.499,0,0,114.15
14,0,0,1,1,10.929,109.9726667,108.499,0,0,125.079
15,0,0,1,2,-16.844,111.1346923,108.499,1,1,108.235
16,0,0,1,3,0.173,110.9275714,108.235,1,0,108.408
17,0,0,1,4,-0.727,110.7596,108.235,1,1,107.681
18,0,0,1,5,0.116,110.5671875,107.681,1,0,107.797
19,0,0,1,6,-0.323,110.4042353,107.681,1,1,107.474
20,0,0,1,7,-0.272,110.2414444,107.474,1,1,107.202
21,0,0,1,8,0.456,110.0814737,107.202,1,0,107.658
22,0,0,1,9,-0.2,109.9603,107.202,1,0,107.458
23,0,0,1,10,-0.001,109.8411429,107.202,1,0,107.457
24,0,0,1,11,0.078,109.7327727,107.202,1,0,107.535
25,0,0,1,12,-0.579,109.6372174,107.202,1,1,106.956
26,0,0,1,13,0.15,109.5255,106.956,1,0,107.106
27,0,0,1,14,0.59,109.42872,106.956,1,0,107.696
28,0,0,1,15,-0.635,109.3620769,106.956,1,0,107.061
29,0,0,1,16,-0.417,109.2768519,106.956,1,1,106.644
30,0,0,1,17,15.176,109.1828214,106.644,0,0,121.82
31,0,0,1,18,26.381,109.6185862,106.644,0,0,148.201
32,0,0,1,19,-8.515,110.9046667,106.644,0,0,139.686
36,0,0,1,23,-24.523,111.8330968,106.644,0,0,115.163
37,0,0,1,24,-5.916,111.9371563,106.644,1,0,109.247
38,0,0,1,25,-1.585,111.8556364,106.644,1,0,107.662
39,0,0,1,26,-1.498,111.7322941,106.644,1,1,106.164
40,0,0,1,27,0.108,111.5732,106.164,1,0,106.272
41,0,0,1,28,0.018,111.4259444,106.164,1,0,106.29
42,0,0,1,29,-0.659,111.2871351,106.164,1,1,105.631
43,0,0,1,30,-0.03,111.1382895,105.631,1,1,105.601
44,0,0,1,31,0.323,110.9963077,105.601,1,0,105.924
45,0,0,1,32,1.392,110.8695,105.601,1,0,107.316
46,0,0,1,33,-0.357,110.7828293,105.601,1,0,106.959
47,0,0,1,34,32.304,110.6917857,105.601,0,0,139.263
50,1,0,0,2,3.282,111.3562326,105.601,0,0,142.545
51,1,0,0,3,-36.119,112.0650682,105.601,1,0,106.426
3,1,0,0,3,-1.924,113.144,113.144,1,1,111.22
4,1,0,0,4,-1.265,112.182,111.22,1,1,109.955
5,1,0,0,5,-0.084,111.4396667,109.955,1,1,109.871
6,1,0,0,6,0.408,111.0475,109.871,1,0,110.279
7,1,0,0,7,0.385,110.8938,109.871,1,0,110.664
8,1,0,0,8,0.327,110.8555,109.871,0,0,110.991
9,1,0,0,9,6.053,110.8748571,109.871,0,0,117.044
10,0,0,1,1,13.504,111.646,109.871,0,0,130.548
11,0,0,1,2,-19.077,113.7462222,109.871,1,0,111.471
12,0,0,1,3,-1.864,113.5187,109.871,1,1,109.607
13,0,0,1,4,-0.597,113.1630909,109.607,1,1,109.01
14,0,0,1,5,0.425,112.817,109.01,1,0,109.435
15,0,0,1,6,0.289,112.5568462,109.01,1,0,109.724
16,0,0,1,7,-0.574,112.3545,109.01,1,0,109.15
17,0,0,1,8,0.004,112.1408667,109.01,1,0,109.154
18,0,0,1,9,-0.121,111.9541875,109.01,1,0,109.033
19,0,0,1,10,-0.351,111.7823529,109.01,1,1,108.682
20,0,0,1,11,-0.205,111.6101111,108.682,1,1,108.477
21,0,0,1,12,0.566,111.4452105,108.477,1,0,109.043
22,0,0,1,13,-0.575,111.3251,108.477,1,1,108.468
23,0,0,1,14,0.255,111.1890476,108.468,1,0,108.723
24,0,0,1,15,14.422,111.0769545,108.468,0,0,123.145
25,0,0,1,16,-11.639,111.6016522,108.468,1,0,111.506
26,0,0,1,17,-0.498,111.5976667,108.468,1,0,111.008
27,0,0,1,18,-1.996,111.57408,108.468,1,0,109.012
28,0,0,1,19,-0.373,111.4755385,108.468,1,0,108.639
29,0,0,1,20,-0.281,111.3704815,108.468,1,1,108.358
30,0,0,1,21,29.944,111.2628929,108.358,0,0,138.302
34,0,0,1,25,-13.173,112.1952759,108.358,0,0,125.129
35,1,0,0,3,6.709,112.6264,108.358,0,0,131.838
36,1,0,0,4,-21.445,113.246129,108.358,1,0,110.393
37,1,0,0,5,-2.078,113.1569688,108.358,1,1,108.315
38,1,0,0,6,-0.205,113.0102424,108.315,1,1,108.11
39,1,0,0,7,-0.291,112.8661176,108.11,1,1,107.819
40,1,0,0,8,-0.072,112.7219143,107.819,1,1,107.747
41,1,0,0,9,0.192,112.5837222,107.747,1,0,107.939
42,1,0,0,10,0.907,112.4581892,107.747,1,0,108.846
43,1,0,0,11,1.409,112.3631316,107.747,1,0,110.255
44,1,0,0,12,4.272,112.3090769,107.747,0,0,114.527
45,1,0,0,6,24.039,112.364525,107.747,0,0,138.566
46,1,0,0,7,4.172,113.0035854,107.747,0,0,142.738
50,1,0,0,11,-25.77,113.7115476,107.747,0,0,116.968
51,1,0,0,12,-8.845,113.7872791,107.747,1,0,108.123
3,1,0,0,8,0.176,109.031,109.031,0,0,109.207
4,1,0,0,9,-1.269,109.119,109.031,1,1,107.938
5,1,0,0,10,-0.295,108.7253333,107.938,1,1,107.643
6,1,0,0,11,0.272,108.45475,107.643,1,0,107.915
7,1,0,0,12,-0.21,108.3468,107.643,1,0,107.705
8,1,0,0,13,-0.309,108.2398333,107.643,1,1,107.396
9,1,0,0,14,0.014,108.1192857,107.396,1,0,107.41
10,1,0,0,15,-0.312,108.030625,107.396,1,1,107.098
11,1,0,0,16,4.184,107.927,107.098,0,0,111.282
51,1,0,0,5,-27.854,108.915,105.22,1,0,105.588
3,1,0,0,6,-0.536,109.18,109.18,1,1,108.644
