,Time,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
426,0 days 01:41:41.608000,18,,46.0,3.0,,,0 days 00:00:48.610000,0 days 00:01:11.864000,0 days 00:00:39.596000,0 days 01:39:50.165000,0 days 01:41:02.012000,0 days 01:41:41.669000,148.0,125.0,222.0,200.0,ULTRASOFT,6.0,True,0 days 01:39:01.545000,Williams,STR,4,False,2018-04-29 13:45:01.622
427,0 days 01:44:20.383000,18,,47.0,3.0,,,0 days 00:00:54.562000,0 days 00:01:09.076000,0 days 00:00:35.218000,0 days 01:42:36.214000,0 days 01:43:45.227000,0 days 01:44:20.648000,104.0,87.0,330.0,320.0,ULTRASOFT,7.0,True,0 days 01:41:41.608000,Williams,STR,4,False,2018-04-29 13:47:41.685
428,0 days 01:46:13.420000,18,0 days 00:01:53.037000,48.0,3.0,,,0 days 00:00:41.678000,0 days 00:00:44.864000,0 days 00:00:26.495000,0 days 01:45:02.061000,0 days 01:45:46.925000,0 days 01:46:13.420000,179.0,200.0,308.0,314.0,ULTRASOFT,8.0,True,0 days 01:44:20.383000,Williams,STR,1,False,2018-04-29 13:50:20.460
429,0 days 01:48:02.457000,18,0 days 00:01:49.037000,49.0,3.0,,,0 days 00:00:38.835000,0 days 00:00:44.419000,0 days 00:00:25.783000,0 days 01:46:52.255000,0 days 01:47:36.674000,0 days 01:48:02.457000,184.0,192.0,318.0,315.0,ULTRASOFT,9.0,True,0 days 01:46:13.420000,Williams,STR,2,True,2018-04-29 13:52:13.497
430,0 days 01:49:49.272000,18,0 days 00:01:46.815000,50.0,3.0,,,0 days 00:00:38.135000,0 days 00:00:43.457000,0 days 00:00:25.223000,0 days 01:48:40.592000,0 days 01:49:24.049000,0 days 01:49:49.272000,194.0,199.0,336.0,326.0,ULTRASOFT,10.0,True,0 days 01:48:02.457000,Williams,STR,1,True,2018-04-29 13:54:02.534
431,0 days 01:51:39.322000,18,0 days 00:01:50.050000,51.0,3.0,,,0 days 00:00:39.383000,0 days 00:00:44.276000,0 days 00:00:26.391000,0 days 01:50:28.655000,0 days 01:51:12.931000,0 days 01:51:39.322000,198.0,207.0,309.0,310.0,ULTRASOFT,11.0,True,0 days 01:49:49.272000,Williams,STR,1,True,2018-04-29 13:55:49.349
432,0 days 00:11:00.572000,14,,1.0,1.0,0 days 00:00:04.180000,0 days 00:10:58.372000,,0 days 00:01:19.762000,0 days 00:01:04.814000,,0 days 00:09:55.758000,0 days 00:11:00.699000,125.0,84.0,,160.0,,,,0 days 00:07:42.253000,McLaren,ALO,24,False,2018-04-29 12:13:42.330
433,0 days 00:13:56.521000,14,,2.0,2.0,0 days 00:11:54.987000,,0 days 00:01:35.879000,0 days 00:00:51.232000,0 days 00:00:28.825000,0 days 00:12:36.655000,0 days 00:13:27.874000,0 days 00:13:56.708000,175.0,182.0,288.0,283.0,SOFT,1.0,True,0 days 00:11:00.572000,McLaren,ALO,4,False,2018-04-29 12:17:00.649
434,0 days 00:16:16.364000,14,0 days 00:02:19.843000,3.0,2.0,,,0 days 00:00:44.058000,0 days 00:00:58.942000,0 days 00:00:36.843000,0 days 00:14:40.579000,0 days 00:15:39.521000,0 days 00:16:16.364000,139.0,107.0,238.0,281.0,SOFT,2.0,True,0 days 00:13:56.521000,McLaren,ALO,4,False,2018-04-29 12:19:56.598
435,0 days 00:18:50.572000,14,,4.0,2.0,,,0 days 00:00:54.543000,0 days 00:01:01.387000,0 days 00:00:38.274000,0 days 00:17:10.936000,0 days 00:18:12.298000,0 days 00:18:50.695000,134.0,129.0,249.0,187.0,SOFT,3.0,True,0 days 00:16:16.364000,McLaren,ALO,4,False,2018-04-29 12:22:16.441
436,0 days 00:21:34.641000,14,,5.0,2.0,,,0 days 00:00:52.230000,0 days 00:00:57.936000,0 days 00:00:53.909000,0 days 00:19:42.923000,0 days 00:20:40.762000,0 days 00:21:35.403000,140.0,168.0,311.0,91.0,SOFT,4.0,True,0 days 00:18:50.572000,McLaren,ALO,4,False,2018-04-29 12:24:50.649
437,0 days 00:23:36.452000,14,0 days 00:02:01.811000,6.0,2.0,,,0 days 00:00:45.863000,0 days 00:00:49.751000,0 days 00:00:26.197000,0 days 00:22:20.504000,0 days 00:23:10.255000,0 days 00:23:36.452000,156.0,163.0,336.0,322.0,SOFT,5.0,True,0 days 00:21:34.641000,McLaren,ALO,1,False,2018-04-29 12:27:34.718
438,0 days 00:25:31.010000,14,0 days 00:01:54.558000,7.0,2.0,,,0 days 00:00:41.976000,0 days 00:00:46.647000,0 days 00:00:25.935000,0 days 00:24:18.428000,0 days 00:25:05.075000,0 days 00:25:31.010000,170.0,183.0,326.0,320.0,SOFT,6.0,True,0 days 00:23:36.452000,McLaren,ALO,1,True,2018-04-29 12:29:36.529
439,0 days 00:27:22.431000,14,0 days 00:01:51.421000,8.0,2.0,,,0 days 00:00:39.918000,0 days 00:00:45.872000,0 days 00:00:25.631000,0 days 00:26:10.928000,0 days 00:26:56.800000,0 days 00:27:22.431000,191.0,185.0,328.0,324.0,SOFT,7.0,True,0 days 00:25:31.010000,McLaren,ALO,1,True,2018-04-29 12:31:31.087
440,0 days 00:29:13.278000,14,0 days 00:01:50.847000,9.0,2.0,,,0 days 00:00:39.462000,0 days 00:00:45.215000,0 days 00:00:26.170000,0 days 00:28:01.893000,0 days 00:28:47.108000,0 days 00:29:13.278000,182.0,196.0,326.0,311.0,SOFT,8.0,True,0 days 00:27:22.431000,McLaren,ALO,1,True,2018-04-29 12:33:22.508
