DriverNumber,Driver,LapNumber,TotalLaps,LapsRemain,LapTime,Seconds,FuelMultiplier,FB_y,FuelBurnConstant,Adj_FB,Adj_LapTime_FB,quali_delta,Stint,Compound_Label,Compound,TyreLife,TyreLife_perc,FreshTyre,LapStartTime,Team,TrackStatus,LapStartDate,ahead,gap_ahead,race,fq
99,GIO,51,53,2,01:41.5,101.488,0.082,0.62,0.041,100.786,101.406,8.973,2,C3,MEDIUM,23,43.39622642,TRUE,0 days 01:57:49.176000,Alfa Romeo,1,27:49.2,27:45.6,3.549,france,91.813
14,ALO,60,66,6,01:27.8,87.797,0.246,0.62,0.041,86.931,87.551,8.965,2,C2,MEDIUM,39,59.09090909,TRUE,0 days 01:58:44.618000,Alpine F1 Team,1,28:44.6,28:30.2,14.448,spain,77.966
55,SAI,44,53,9,01:40.8,100.766,0.369,0.62,0.041,99.777,100.397,8.937,2,C2,HARD,27,50.94339623,TRUE,0 days 01:45:52.987000,Ferrari,1,15:53.0,15:46.2,6.771,france,90.84
18,STR,60,66,6,01:27.8,87.774,0.246,0.62,0.041,86.908,87.528,8.934,3,C3,SOFT,24,36.36363636,FALSE,0 days 01:58:45.218000,Aston Martin,1,28:45.2,28:44.6,0.6,spain,77.974
55,SAI,48,53,5,01:40.6,100.585,0.205,0.62,0.041,99.76,100.38,8.92,2,C2,HARD,31,58.49056604,TRUE,0 days 01:52:31.481000,Ferrari,1,22:31.5,22:26.0,5.456,france,90.84
33,VER,24,66,42,01:28.0,88.038,1.722,0.62,0.041,85.696,86.316,8.919,1,C3,SOFT,27,40.90909091,FALSE,0 days 01:07:07.559000,Red Bull,1,37:07.6,LEAD,LEAD!,spain,76.777
10,GAS,19,56,37,01:40.8,100.838,1.517,0.62,0.041,98.701,99.321,8.892,2,C2,HARD,15,26.78571429,TRUE,0 days 01:09:38.934000,AlphaTauri,1,39:38.9,39:37.4,1.559,bahrain,89.809
14,ALO,23,56,33,01:46.6,106.618,1.353,0.62,0.041,104.645,105.265,8.889,2,C2,HARD,16,28.57142857,TRUE,0 days 01:41:12.775000,Alpine F1 Team,1,42:14.5,42:09.9,4.645,us,95.756
47,MSC,53,56,3,01:46.1,106.09,0.123,0.62,0.041,105.347,105.967,8.848,3,C3,MEDIUM,19,33.92857143,TRUE,0 days 02:33:52.038000,Haas F1 Team,1,34:53.8,34:41.9,11.883,us,96.499
31,OCO,2,56,54,01:47.0,107.036,2.214,0.62,0.041,104.202,104.822,8.825,1,C3,MEDIUM,5,8.928571429,FALSE,0 days 01:04:31.030000,Alpine F1 Team,1,05:32.8,05:32.1,0.686,us,95.377
77,BOT,3,56,53,01:45.0,105.047,2.173,0.62,0.041,102.254,102.874,8.779,1,C3,MEDIUM,6,10.71428571,FALSE,0 days 01:06:15.888000,Mercedes,1,07:17.6,07:15.4,2.211,us,93.475
14,ALO,49,56,7,01:45.4,105.442,0.287,0.62,0.041,104.535,105.155,8.779,4,C3,MEDIUM,10,17.85714286,TRUE,0 days 02:26:03.146000,Alpine F1 Team,1,27:04.9,27:03.0,1.918,us,95.756
18,STR,35,53,18,01:42.3,102.25,0.738,0.62,0.041,100.892,101.512,8.77,2,C3,MEDIUM,1,1.886792453,TRUE,0 days 01:31:08.326000,Aston Martin,1,01:08.3,01:07.1,1.271,france,92.122
11,PER,51,66,15,01:28.8,88.808,0.615,0.62,0.041,87.573,88.193,8.728,3,C2,MEDIUM,57,86.36363636,,0 days 01:45:52.625000,Red Bull,1,15:52.6,LEAD,LEAD!,portugal,78.845
5,VET,2,56,54,01:46.8,106.841,2.214,0.62,0.041,104.007,104.627,8.726,1,C3,MEDIUM,4,7.142857143,FALSE,0 days 01:04:32.085000,Aston Martin,1,05:33.8,05:33.6,0.233,us,95.281
10,GAS,15,53,38,01:41.8,101.761,1.558,0.62,0.041,99.583,100.203,8.715,1,C3,MEDIUM,20,37.73584906,FALSE,57:08.1,AlphaTauri,1,27:08.1,27:06.9,1.137,france,90.868
9,MAZ,54,71,17,01:16.2,76.211,0.697,0.62,0.041,74.894,75.514,8.702,2,C2,HARD,33,46.47887324,TRUE,0 days 01:37:24.162000,Haas F1 Team,1,07:24.2,07:16.0,8.159,austria,66.192
16,LEC,32,56,24,01:40.0,99.973,0.984,0.62,0.041,98.369,98.989,8.691,2,C3,MEDIUM,20,35.71428571,TRUE,0 days 01:30:02.352000,Ferrari,1,00:02.4,59:57.8,4.575,bahrain,89.678
9,MAZ,24,56,32,01:47.4,107.399,1.312,0.62,0.041,105.467,106.087,8.671,2,C2,HARD,,0,TRUE,0 days 01:43:52.934000,Haas F1 Team,1,44:54.7,44:22.9,31.784,us,96.796
6,LAT,2,53,51,01:44.4,104.439,2.091,0.62,0.041,101.728,102.348,8.666,1,C3,MEDIUM,2,3.773584906,TRUE,35:20.7,Williams,1,05:20.7,05:20.1,0.638,france,93.062
63,RUS,7,66,59,01:30.8,90.785,2.419,0.62,0.041,87.746,88.366,8.637,3,C2,MEDIUM,7,10.60606061,,45:07.1,Williams,1,15:07.1,15:06.8,0.273,portugal,79.109
77,BOT,54,56,2,01:42.8,102.807,0.082,0.62,0.041,102.105,102.725,8.63,3,C2,HARD,,0,TRUE,0 days 02:33:32.064000,Mercedes,1,34:33.8,34:33.2,0.62,us,93.475
99,GIO,2,56,54,01:47.3,107.255,2.214,0.62,0.041,104.421,105.041,8.627,1,C3,MEDIUM,2,3.571428571,TRUE,0 days 01:04:29.727000,Alfa Romeo,1,05:31.5,05:30.8,0.672,us,95.794
55,SAI,13,53,40,01:41.7,101.71,1.64,0.62,0.041,99.45,100.07,8.61,1,C3,MEDIUM,16,30.18867925,FALSE,53:43.9,Ferrari,1,23:43.9,23:31.4,12.553,france,90.84
55,SAI,15,53,38,01:41.6,101.62,1.558,0.62,0.041,99.442,100.062,8.602,1,C3,MEDIUM,18,33.96226415,FALSE,57:06.9,Ferrari,1,27:06.9,26:49.9,16.997,france,90.84
16,LEC,50,53,3,01:40.3,100.328,0.123,0.62,0.041,99.585,100.205,8.598,3,C3,MEDIUM,15,28.30188679,FALSE,0 days 01:56:14.217000,Ferrari,1,26:14.2,26:08.5,5.732,france,90.987
55,SAI,23,53,30,01:41.3,101.28,1.23,0.62,0.041,99.43,100.05,8.59,2,C2,HARD,6,11.32075472,TRUE,0 days 01:10:52.020000,Ferrari,1,40:52.0,40:51.6,0.448,france,90.84
55,SAI,62,72,10,01:19.2,79.155,0.41,0.62,0.041,78.125,78.745,8.588,2,C1,HARD,31,43.05555556,TRUE,0 days 02:20:16.316000,Ferrari,1,21:16.3,20:50.2,26.11,dutch,69.537
14,ALO,19,53,34,01:41.9,101.935,1.394,0.62,0.041,99.921,100.541,8.581,2,C2,HARD,1,1.886792453,TRUE,0 days 01:04:20.784000,Alpine F1 Team,1,34:20.8,34:14.2,6.545,france,91.34
55,SAI,22,66,44,01:28.6,88.62,1.804,0.62,0.041,86.196,86.816,8.576,1,C3,SOFT,25,37.87878788,FALSE,0 days 01:04:44.693000,Ferrari,1,34:44.7,34:43.6,1.097,spain,77.62
