DriverNumber,Driver,LapNumber,TotalLaps,LapsRemain,LapTime,Seconds,FuelMultiplier,FB_y,FuelBurnConstant,Adj_FB,Adj_LapTime_FB,quali_delta,Stint,Compound_Label,Compound,TyreLife,TyreLife_perc,FreshTyre,LapStartTime,Team,TrackStatus,LapStartDate,ahead,gap_ahead,race,fq
63,RUS,52,72,20,01:15.9,75.921,0.82,0.62,0.041,74.481,75.101,4.149,2,C1,HARD,25,34.72222222,TRUE,0 days 02:08:15.545000,Williams,1,09:15.6,09:07.5,8.077,dutch,70.332
16,LEC,58,72,14,01:14.8,74.78,0.574,0.62,0.041,73.586,74.206,4.149,2,C1,HARD,24,33.33333333,TRUE,0 days 02:14:50.835000,Ferrari,1,15:50.8,15:46.2,4.645,dutch,69.437
33,VER,22,56,34,01:35.2,95.159,1.394,0.62,0.041,93.145,93.765,4.148,2,C3,MEDIUM,5,8.928571429,TRUE,0 days 01:13:36.583000,Red Bull,1,43:36.6,43:32.3,4.244,bahrain,88.997
63,RUS,4,72,68,01:17.9,77.888,2.788,0.62,0.041,74.48,75.1,4.148,1,C2,MEDIUM,4,5.555555556,TRUE,0 days 01:06:12.638000,Williams,1,07:12.6,07:11.4,1.231,dutch,70.332
16,LEC,48,66,18,01:23.0,83.016,0.738,0.62,0.041,81.658,82.278,4.148,2,C2,MEDIUM,20,30.3030303,TRUE,0 days 01:40:53.697000,Ferrari,1,10:53.7,10:39.1,14.571,spain,77.51
7,RAI,7,56,49,01:38.0,98.014,2.009,0.62,0.041,95.385,96.005,4.147,1,C3,MEDIUM,7,12.5,TRUE,49:27.1,Alfa Romeo,1,19:27.1,19:26.3,0.841,bahrain,91.238
22,TSU,4,72,68,01:18.0,78.017,2.788,0.62,0.041,74.609,75.229,4.147,1,C3,SOFT,4,5.555555556,TRUE,0 days 01:06:14.795000,AlphaTauri,1,07:14.8,07:14.0,0.778,dutch,70.462
18,STR,51,72,21,01:16.0,75.995,0.861,0.62,0.041,74.514,75.134,4.147,2,C1,HARD,24,33.33333333,TRUE,0 days 02:07:00.394000,Aston Martin,1,08:00.4,07:59.7,0.67,dutch,70.367
16,LEC,56,72,16,01:14.9,74.86,0.656,0.62,0.041,73.584,74.204,4.147,2,C1,HARD,22,30.55555556,TRUE,0 days 02:12:21.123000,Ferrari,1,13:21.1,13:16.5,4.667,dutch,69.437
11,PER,65,72,7,01:15.6,75.584,0.287,0.62,0.041,74.677,75.297,4.147,5,C3,SOFT,18,25,TRUE,0 days 02:24:13.686000,Red Bull,1,25:13.7,25:13.4,0.337,dutch,70.53
10,GAS,5,66,61,01:25.3,85.25,2.501,0.62,0.041,82.129,82.749,4.147,1,C3,SOFT,5,7.575757576,TRUE,39:13.1,AlphaTauri,1,09:13.1,09:12.5,0.647,spain,77.982
44,HAM,27,66,39,01:23.1,83.107,1.599,0.62,0.041,80.888,81.508,4.147,1,C3,SOFT,31,46.96969697,FALSE,0 days 01:11:19.913000,Mercedes,1,41:19.9,LEAD,LEAD!,spain,76.741
18,STR,63,66,3,01:22.9,82.864,0.123,0.62,0.041,82.121,82.741,4.147,3,C3,SOFT,27,40.90909091,FALSE,0 days 02:03:00.277000,Aston Martin,1,33:00.3,32:58.2,2.133,spain,77.974
11,PER,18,72,54,01:17.5,77.51,2.214,0.62,0.041,74.676,75.296,4.146,4,C2,MEDIUM,10,13.88888889,TRUE,0 days 01:24:32.443000,Red Bull,1,25:32.5,25:31.9,0.596,dutch,70.53
77,BOT,54,71,17,01:09.5,69.497,0.697,0.62,0.041,68.18,68.8,4.145,2,C2,HARD,27,38.02816901,TRUE,0 days 01:35:15.600000,Mercedes,1,05:15.6,04:51.4,24.203,austria,64.035
14,ALO,61,71,10,01:09.7,69.749,0.41,0.62,0.041,68.719,69.339,4.145,2,C2,HARD,34,47.88732394,TRUE,0 days 01:44:25.184000,Alpine F1 Team,1,14:25.2,14:23.4,1.84,austria,64.574
7,RAI,5,71,66,01:25.1,85.077,2.706,0.62,0.041,81.751,82.371,4.145,1,C3,MEDIUM,8,11.26760563,FALSE,0 days 01:10:19.806000,Alfa Romeo,1,11:21.2,11:20.4,0.84,mexico,77.606
11,PER,61,71,10,01:09.3,69.342,0.41,0.62,0.041,68.312,68.932,4.144,3,C3,MEDIUM,7,9.85915493,TRUE,0 days 01:43:36.136000,Red Bull,1,13:36.2,13:23.9,12.296,austria,64.168
31,OCO,51,72,21,01:15.5,75.544,0.861,0.62,0.041,74.063,74.683,4.144,2,C2,MEDIUM,20,27.77777778,TRUE,0 days 02:06:39.987000,Alpine F1 Team,1,07:40.0,07:37.8,2.182,dutch,69.919
22,TSU,14,71,57,01:11.6,71.614,2.337,0.62,0.041,68.657,69.277,4.143,1,C4,SOFT,17,23.94366197,FALSE,48:46.5,AlphaTauri,1,18:46.6,18:45.8,0.775,austria,64.514
3,RIC,40,71,31,01:10.8,70.842,1.271,0.62,0.041,68.951,69.571,4.143,1,C3,MEDIUM,40,56.33802817,TRUE,0 days 01:19:42.853000,McLaren,1,49:42.9,49:36.0,6.928,austria,64.808
5,VET,31,66,35,01:24.3,84.277,1.435,0.62,0.041,82.222,82.842,4.143,2,C2,MEDIUM,10,15.15151515,TRUE,0 days 01:17:54.797000,Aston Martin,1,47:54.8,47:53.2,1.634,spain,78.079
14,ALO,17,71,54,01:11.5,71.55,2.214,0.62,0.041,68.716,69.336,4.142,1,C4,SOFT,20,28.16901408,FALSE,52:19.8,Alpine F1 Team,1,22:19.9,22:17.7,2.183,austria,64.574
63,RUS,19,71,52,01:11.6,71.565,2.132,0.62,0.041,68.813,69.433,4.142,1,C3,MEDIUM,19,26.76056338,TRUE,54:44.3,Williams,1,24:44.3,24:43.0,1.364,austria,64.671
33,VER,51,56,5,01:34.0,93.964,0.205,0.62,0.041,93.139,93.759,4.142,3,C2,HARD,12,21.42857143,TRUE,0 days 01:59:45.383000,Red Bull,1,29:45.4,29:43.9,1.445,bahrain,88.997
3,RIC,60,71,11,01:22.0,81.976,0.451,0.62,0.041,80.905,81.525,4.142,3,C3,MEDIUM,24,33.8028169,FALSE,0 days 02:26:46.005000,McLaren,1,27:47.4,27:45.4,1.985,mexico,76.763
18,STR,3,78,75,01:19.4,79.437,3.075,0.62,0.041,75.742,76.362,4.142,1,C3,HARD,3,3.846153846,TRUE,35:46.6,Aston Martin,1,05:47.4,05:46.8,0.653,monaco,71.6
44,HAM,33,78,45,01:17.7,77.702,1.845,0.62,0.041,75.237,75.857,4.142,2,C3,HARD,4,5.128205128,TRUE,0 days 01:14:27.575000,Mercedes,1,44:28.3,44:27.9,0.404,monaco,71.095
3,RIC,12,66,54,01:24.6,84.598,2.214,0.62,0.041,81.764,82.384,4.142,1,C3,SOFT,15,22.72727273,FALSE,50:32.0,McLaren,1,20:32.0,20:30.8,1.163,spain,77.622
33,VER,68,71,3,01:21.1,81.109,0.123,0.62,0.041,80.366,80.986,4.141,2,C2,HARD,77,108.4507042,,0 days 02:35:21.313000,Red Bull,1,36:22.7,LEAD,LEAD!,mexico,76.225
77,BOT,7,56,49,01:36.4,96.355,2.009,0.62,0.041,93.726,94.346,4.14,1,C3,MEDIUM,10,17.85714286,FALSE,49:18.4,Mercedes,1,19:18.4,19:15.3,3.121,bahrain,89.586
44,HAM,22,56,34,01:35.5,95.539,1.394,0.62,0.041,93.525,94.145,4.14,2,C2,HARD,9,16.07142857,TRUE,0 days 01:13:32.339000,Mercedes,1,43:32.3,LEAD,LEAD!,bahrain,89.385
6,LAT,3,72,69,01:17.7,77.682,2.829,0.62,0.041,74.233,74.853,4.14,3,C2,MEDIUM,3,4.166666667,TRUE,0 days 01:05:02.756000,Williams,1,06:02.8,06:01.4,1.378,dutch,70.093
55,SAI,5,72,67,01:17.0,77.044,2.747,0.62,0.041,73.677,74.297,4.14,1,C3,SOFT,8,11.11111111,FALSE,0 days 01:07:25.122000,Ferrari,1,08:25.1,08:23.2,1.924,dutch,69.537
6,LAT,5,72,67,01:17.6,77.6,2.747,0.62,0.041,74.233,74.853,4.14,3,C2,MEDIUM,5,6.944444444,TRUE,0 days 01:07:39.505000,Williams,1,08:39.5,08:36.8,2.711,dutch,70.093
99,GIO,19,66,47,01:25.0,85.042,1.927,0.62,0.041,82.495,83.115,4.139,2,C2,MEDIUM,14,21.21212121,FALSE,0 days 01:00:46.030000,Alfa Romeo,1,30:46.0,30:43.2,2.802,spain,78.356
63,RUS,17,66,49,01:25.2,85.212,2.009,0.62,0.041,82.583,83.203,4.138,2,C2,MEDIUM,8,12.12121212,TRUE,57:49.5,Williams,1,27:49.5,27:48.0,1.505,spain,78.445
3,RIC,42,66,24,01:23.4,83.364,0.984,0.62,0.041,81.76,82.38,4.138,2,C2,MEDIUM,17,25.75757576,TRUE,0 days 01:32:50.575000,McLaren,1,02:50.6,02:36.9,13.652,spain,77.622
6,LAT,50,71,21,01:10.8,70.793,0.861,0.62,0.041,69.312,69.932,4.137,3,C2,HARD,25,35.21126761,TRUE,0 days 01:33:03.805000,Williams,1,03:03.8,02:32.6,31.242,austria,65.175
22,TSU,28,72,44,01:17.0,77.023,1.804,0.62,0.041,74.599,75.219,4.137,1,C3,SOFT,28,38.88888889,TRUE,0 days 01:37:20.942000,AlphaTauri,1,38:21.0,38:19.2,1.752,dutch,70.462
11,PER,18,66,48,01:24.4,84.394,1.968,0.62,0.041,81.806,82.426,4.137,1,C3,SOFT,21,31.81818182,FALSE,59:01.2,Red Bull,1,29:01.2,29:00.0,1.245,spain,77.669
4,NOR,49,71,22,01:09.8,69.778,0.902,0.62,0.041,68.256,68.876,4.136,2,C2,HARD,18,25.35211268,TRUE,0 days 01:30:04.067000,McLaren,1,00:04.1,59:30.6,33.556,austria,64.12
6,LAT,15,72,57,01:17.2,77.186,2.337,0.62,0.041,74.229,74.849,4.136,3,C2,MEDIUM,15,20.83333333,TRUE,0 days 01:20:39.218000,Williams,1,21:39.2,21:37.3,1.947,dutch,70.093
3,RIC,35,72,37,01:16.1,76.138,1.517,0.62,0.041,74.001,74.621,4.136,2,C1,HARD,5,6.944444444,TRUE,0 days 01:46:30.025000,McLaren,1,47:30.0,47:20.2,9.823,dutch,69.865
10,GAS,47,72,25,01:15.3,75.259,1.025,0.62,0.041,73.614,74.234,4.136,2,C2,MEDIUM,23,31.94444444,TRUE,0 days 02:00:57.184000,AlphaTauri,1,01:57.2,01:24.9,32.263,dutch,69.478
3,RIC,45,78,33,01:17.7,77.707,1.353,0.62,0.041,75.734,76.354,4.136,2,C3,HARD,9,11.53846154,TRUE,0 days 01:30:26.655000,McLaren,1,00:27.4,00:26.8,0.643,monaco,71.598
11,PER,41,72,31,01:16.6,76.556,1.271,0.62,0.041,74.665,75.285,4.135,4,C2,MEDIUM,33,45.83333333,TRUE,0 days 01:53:53.185000,Red Bull,1,54:53.2,54:52.3,0.854,dutch,70.53
14,ALO,41,72,31,01:16.0,75.982,1.271,0.62,0.041,74.091,74.711,4.135,2,C2,MEDIUM,8,11.11111111,TRUE,0 days 01:53:55.973000,Alpine F1 Team,1,54:56.0,54:53.2,2.788,dutch,69.956
3,RIC,58,71,13,01:22.1,82.051,0.533,0.62,0.041,80.898,81.518,4.135,3,C3,MEDIUM,22,30.98591549,FALSE,0 days 02:24:01.242000,McLaren,1,25:02.6,25:01.7,0.987,mexico,76.763
33,VER,65,71,6,01:08.8,68.841,0.246,0.62,0.041,67.975,68.595,4.134,2,C2,HARD,36,50.70422535,TRUE,0 days 01:47:20.815000,Red Bull,1,17:20.9,LEAD,LEAD!,austria,63.841
16,LEC,50,72,22,01:15.1,75.093,0.902,0.62,0.041,73.571,74.191,4.134,2,C1,HARD,16,22.22222222,TRUE,0 days 02:04:50.250000,Ferrari,1,05:50.3,05:43.2,7.058,dutch,69.437
16,LEC,4,72,68,01:17.0,76.978,2.788,0.62,0.041,73.57,74.19,4.133,1,C3,SOFT,7,9.722222222,FALSE,0 days 01:06:06.220000,Ferrari,1,07:06.2,07:03.6,2.585,dutch,69.437
4,NOR,5,66,61,01:25.0,84.95,2.501,0.62,0.041,81.829,82.449,4.133,1,C3,SOFT,8,12.12121212,FALSE,39:09.4,McLaren,1,09:09.4,09:07.8,1.596,spain,77.696
14,ALO,40,72,32,01:16.0,76.02,1.312,0.62,0.041,74.088,74.708,4.132,2,C2,MEDIUM,7,9.722222222,TRUE,0 days 01:52:39.953000,Alpine F1 Team,1,53:40.0,53:37.0,2.981,dutch,69.956
44,HAM,71,71,0,01:20.8,80.772,0,0.62,0.041,80.152,80.772,4.132,2,C2,HARD,42,59.15492958,TRUE,0 days 02:39:38.507000,Mercedes,1,40:39.9,40:23.6,16.311,mexico,76.02
10,GAS,6,66,60,01:25.2,85.194,2.46,0.62,0.041,82.114,82.734,4.132,1,C3,SOFT,6,9.090909091,TRUE,40:38.4,AlphaTauri,1,10:38.4,10:37.7,0.696,spain,77.982
55,SAI,64,66,2,01:22.5,82.454,0.082,0.62,0.041,81.752,82.372,4.132,3,C3,SOFT,21,31.81818182,FALSE,0 days 02:03:33.546000,Ferrari,1,33:33.6,33:32.5,1.066,spain,77.62
99,GIO,14,66,52,01:25.2,85.239,2.132,0.62,0.041,82.487,83.107,4.131,2,C2,MEDIUM,9,13.63636364,FALSE,53:39.2,Alfa Romeo,1,23:39.2,23:36.3,2.852,spain,78.356
16,LEC,47,66,19,01:23.0,83.04,0.779,0.62,0.041,81.641,82.261,4.131,2,C2,MEDIUM,19,28.78787879,TRUE,0 days 01:39:30.657000,Ferrari,1,09:30.7,09:17.8,12.879,spain,77.51
44,HAM,41,56,15,01:38.5,98.485,0.615,0.62,0.041,97.25,97.87,4.131,3,C2,HARD,4,7.142857143,TRUE,0 days 02:10:49.938000,Mercedes,1,11:51.7,11:43.5,8.149,us,93.119
11,PER,25,71,46,01:10.8,70.804,1.886,0.62,0.041,68.298,68.918,4.13,1,C4,SOFT,28,39.43661972,FALSE,0 days 01:01:23.939000,Red Bull,1,31:24.0,31:08.5,15.464,austria,64.168
5,VET,54,71,17,01:10.2,70.158,0.697,0.62,0.041,68.841,69.461,4.13,2,C2,HARD,,0,TRUE,0 days 01:36:17.571000,Aston Martin,1,06:17.6,06:15.7,1.886,austria,64.711
63,RUS,9,71,62,01:25.3,85.25,2.542,0.62,0.041,82.088,82.708,4.13,1,C3,MEDIUM,9,12.67605634,TRUE,0 days 01:15:58.067000,Williams,1,16:59.5,16:56.1,3.397,mexico,77.958
6,LAT,22,71,49,01:25.5,85.514,2.009,0.62,0.041,82.885,83.505,4.129,2,C2,HARD,11,15.49295775,TRUE,0 days 01:34:46.118000,Williams,1,35:47.5,35:34.3,13.227,mexico,78.756
16,LEC,41,56,15,01:35.0,95.041,0.615,0.62,0.041,93.806,94.426,4.128,3,C2,HARD,9,16.07142857,TRUE,0 days 01:44:43.263000,Ferrari,1,14:43.3,14:38.3,4.957,bahrain,89.678
18,STR,3,72,69,01:17.9,77.944,2.829,0.62,0.041,74.495,75.115,4.128,1,C3,SOFT,3,4.166666667,TRUE,0 days 01:04:55.301000,Aston Martin,1,05:55.3,05:54.8,0.481,dutch,70.367
99,GIO,44,71,27,01:23.8,83.752,1.107,0.62,0.041,82.025,82.645,4.128,2,C2,HARD,,0,TRUE,0 days 02:04:47.025000,Alfa Romeo,1,05:48.4,05:32.0,16.441,mexico,77.897
31,OCO,3,71,68,01:12.8,72.752,2.788,0.62,0.041,69.344,69.964,4.127,1,C3,MEDIUM,3,4.225352113,TRUE,35:40.6,Alpine F1 Team,1,05:40.7,05:40.1,0.586,austria,65.217
14,ALO,3,72,69,01:17.5,77.532,2.829,0.62,0.041,74.083,74.703,4.127,1,C3,SOFT,6,8.333333333,FALSE,0 days 01:04:50.997000,Alpine F1 Team,1,05:51.0,05:50.3,0.696,dutch,69.956
31,OCO,52,72,20,01:15.5,75.486,0.82,0.62,0.041,74.046,74.666,4.127,2,C2,MEDIUM,21,29.16666667,TRUE,0 days 02:07:55.531000,Alpine F1 Team,1,08:55.5,08:54.6,0.972,dutch,69.919
18,STR,42,56,14,01:35.9,95.921,0.574,0.62,0.041,94.727,95.347,4.126,3,C2,HARD,15,26.78571429,TRUE,0 days 01:46:31.180000,Aston Martin,1,16:31.2,16:27.9,3.311,bahrain,90.601
55,SAI,6,72,66,01:17.0,76.989,2.706,0.62,0.041,73.663,74.283,4.126,1,C3,SOFT,9,12.5,FALSE,0 days 01:08:42.166000,Ferrari,1,09:42.2,09:39.8,2.387,dutch,69.537
31,OCO,62,72,10,01:15.1,75.075,0.41,0.62,0.041,74.045,74.665,4.126,2,C2,MEDIUM,31,43.05555556,TRUE,0 days 02:20:25.324000,Alpine F1 Team,1,21:25.3,21:20.2,5.115,dutch,69.919
47,MSC,49,66,17,01:24.6,84.56,0.697,0.62,0.041,83.243,83.863,4.126,2,C2,MEDIUM,26,39.39393939,TRUE,0 days 01:43:43.567000,Haas F1 Team,1,13:43.6,13:34.6,9.015,spain,79.117
10,GAS,40,72,32,01:15.5,75.535,1.312,0.62,0.041,73.603,74.223,4.125,2,C2,MEDIUM,16,22.22222222,TRUE,0 days 01:52:08.818000,AlphaTauri,1,53:08.8,52:41.9,26.894,dutch,69.478
63,RUS,23,56,33,01:37.4,97.412,1.353,0.62,0.041,95.439,96.059,4.123,2,C3,MEDIUM,10,17.85714286,TRUE,0 days 01:15:59.747000,Williams,1,45:59.8,45:57.3,2.46,bahrain,91.316
3,RIC,64,71,7,01:21.8,81.792,0.287,0.62,0.041,80.885,81.505,4.122,3,C3,MEDIUM,28,39.43661972,FALSE,0 days 02:32:12.715000,McLaren,1,33:14.1,33:12.4,1.741,mexico,76.763
5,VET,15,71,56,01:11.7,71.748,2.296,0.62,0.041,68.832,69.452,4.121,1,C3,MEDIUM,15,21.12676056,TRUE,49:59.8,Aston Martin,1,19:59.9,19:59.1,0.816,austria,64.711
7,RAI,12,56,44,01:37.8,97.783,1.804,0.62,0.041,95.359,95.979,4.121,1,C3,MEDIUM,12,21.42857143,TRUE,57:36.9,Alfa Romeo,1,27:36.9,27:35.9,0.987,bahrain,91.238
31,OCO,16,72,56,01:17.0,76.956,2.296,0.62,0.041,74.04,74.66,4.121,1,C3,SOFT,19,26.38888889,FALSE,0 days 01:21:43.132000,Alpine F1 Team,1,22:43.1,22:40.7,2.419,dutch,69.919
99,GIO,31,56,25,01:41.6,101.56,1.025,0.62,0.041,99.915,100.535,4.121,3,C2,HARD,,0,TRUE,0 days 01:55:27.434000,Alfa Romeo,1,56:29.2,56:26.6,2.561,us,95.794
10,GAS,75,78,3,01:15.8,75.763,0.123,0.62,0.041,75.02,75.64,4.12,2,C3,HARD,45,57.69230769,TRUE,0 days 02:07:42.087000,AlphaTauri,1,37:42.8,37:40.0,2.892,monaco,70.9
44,HAM,19,66,47,01:23.4,83.407,1.927,0.62,0.041,80.86,81.48,4.119,1,C3,SOFT,23,34.84848485,FALSE,0 days 01:00:11.423000,Mercedes,1,30:11.4,30:10.2,1.245,spain,76.741
22,TSU,13,71,58,01:11.6,71.63,2.378,0.62,0.041,68.632,69.252,4.118,1,C4,SOFT,16,22.53521127,FALSE,47:34.9,AlphaTauri,1,17:34.9,17:34.1,0.802,austria,64.514
22,TSU,37,72,35,01:16.6,76.635,1.435,0.62,0.041,74.58,75.2,4.118,2,C2,MEDIUM,6,8.333333333,TRUE,0 days 01:49:16.182000,AlphaTauri,1,50:16.2,50:13.1,3.059,dutch,70.462
18,STR,17,71,54,01:11.6,71.614,2.214,0.62,0.041,68.78,69.4,4.117,1,C4,SOFT,20,28.16901408,FALSE,52:17.6,Aston Martin,1,22:17.7,22:10.0,7.653,austria,64.663
18,STR,20,72,52,01:17.2,77.236,2.132,0.62,0.041,74.484,75.104,4.117,1,C3,SOFT,20,27.77777778,TRUE,0 days 01:26:59.550000,Aston Martin,1,27:59.6,27:58.7,0.81,dutch,70.367
47,MSC,55,72,17,01:16.8,76.82,0.697,0.62,0.041,75.503,76.123,4.116,3,C2,MEDIUM,25,34.72222222,TRUE,0 days 02:13:48.605000,Haas F1 Team,1,14:48.6,13:37.5,11.134,dutch,71.387
63,RUS,64,71,7,01:23.0,82.981,0.287,0.62,0.041,82.074,82.694,4.116,2,C2,HARD,49,69.01408451,TRUE,0 days 02:33:04.131000,Williams,1,34:05.5,33:43.9,21.668,mexico,77.958
31,OCO,4,66,62,01:24.9,84.858,2.542,0.62,0.041,81.696,82.316,4.116,1,C3,SOFT,7,10.60606061,FALSE,37:41.9,Alpine F1 Team,1,07:41.9,07:40.2,1.707,spain,77.58
22,TSU,40,72,32,01:16.5,76.509,1.312,0.62,0.041,74.577,75.197,4.115,2,C2,MEDIUM,9,12.5,TRUE,0 days 01:53:06.971000,AlphaTauri,1,54:07.0,53:56.9,10.051,dutch,70.462
44,HAM,6,56,50,01:36.2,96.169,2.05,0.62,0.041,93.499,94.119,4.114,1,C3,MEDIUM,9,16.07142857,FALSE,47:39.1,Mercedes,1,17:39.1,17:37.8,1.353,bahrain,89.385
44,HAM,39,56,17,01:34.8,94.816,0.697,0.62,0.041,93.499,94.119,4.114,3,C2,HARD,11,19.64285714,TRUE,0 days 01:40:51.198000,Mercedes,1,10:51.2,10:37.3,13.912,bahrain,89.385
16,LEC,19,72,53,01:16.3,76.343,2.173,0.62,0.041,73.55,74.17,4.113,1,C3,SOFT,22,30.55555556,FALSE,0 days 01:25:13.261000,Ferrari,1,26:13.3,26:11.1,2.203,dutch,69.437
9,MAZ,3,56,53,01:43.7,103.702,2.173,0.62,0.041,100.909,101.529,4.113,2,C2,HARD,,0,TRUE,0 days 01:06:46.693000,Haas F1 Team,1,07:48.4,07:23.4,25.075,us,96.796
14,ALO,23,71,48,01:11.3,71.274,1.968,0.62,0.041,68.686,69.306,4.112,1,C4,SOFT,26,36.61971831,FALSE,59:28.7,Alpine F1 Team,1,29:28.8,29:27.0,1.775,austria,64.574
16,LEC,46,72,26,01:15.2,75.235,1.066,0.62,0.041,73.549,74.169,4.112,2,C1,HARD,12,16.66666667,TRUE,0 days 01:59:49.299000,Ferrari,1,00:49.3,00:41.8,7.49,dutch,69.437
47,MSC,59,72,13,01:16.7,76.652,0.533,0.62,0.041,75.499,76.119,4.112,3,C2,MEDIUM,29,40.27777778,TRUE,0 days 02:18:56.695000,Haas F1 Team,1,19:56.7,18:42.6,14.136,dutch,71.387
77,BOT,55,66,11,01:23.5,83.531,0.451,0.62,0.041,82.46,83.08,4.112,4,C1,HARD,20,30.3030303,FALSE,0 days 01:51:25.984000,Mercedes,1,21:26.0,21:23.1,2.931,portugal,78.348
31,OCO,60,71,11,01:10.4,70.399,0.451,0.62,0.041,69.328,69.948,4.111,2,C2,HARD,,0,TRUE,0 days 01:43:26.568000,Alpine F1 Team,1,13:26.6,13:25.4,1.183,austria,65.217
7,RAI,66,71,5,01:10.4,70.365,0.205,0.62,0.041,69.54,70.16,4.111,2,C3,MEDIUM,30,42.25352113,TRUE,0 days 01:50:20.024000,Alfa Romeo,1,20:20.1,20:19.3,0.778,austria,65.429
33,VER,26,56,30,01:35.0,94.958,1.23,0.62,0.041,93.108,93.728,4.111,2,C3,MEDIUM,9,16.07142857,TRUE,0 days 01:19:57.115000,Red Bull,1,49:57.1,49:53.6,3.572,bahrain,88.997
16,LEC,10,72,62,01:16.7,76.71,2.542,0.62,0.041,73.548,74.168,4.111,1,C3,SOFT,13,18.05555556,FALSE,0 days 01:13:45.864000,Ferrari,1,14:45.9,14:41.9,3.937,dutch,69.437
22,TSU,20,72,52,01:17.3,77.325,2.132,0.62,0.041,74.573,75.193,4.111,1,C3,SOFT,20,27.77777778,TRUE,0 days 01:27:02.420000,AlphaTauri,1,28:02.4,28:00.7,1.733,dutch,70.462
16,LEC,51,72,21,01:15.0,75.029,0.861,0.62,0.041,73.548,74.168,4.111,2,C1,HARD,17,23.61111111,TRUE,0 days 02:06:05.343000,Ferrari,1,07:05.4,06:59.2,6.177,dutch,69.437
18,STR,52,72,20,01:15.9,75.918,0.82,0.62,0.041,74.478,75.098,4.111,2,C1,HARD,25,34.72222222,TRUE,0 days 02:08:16.389000,Aston Martin,1,09:16.4,09:15.6,0.844,dutch,70.367
4,NOR,61,78,17,01:16.0,76.048,0.697,0.62,0.041,74.731,75.351,4.111,2,C3,HARD,31,39.74358974,TRUE,0 days 01:49:32.415000,McLaren,1,19:33.2,19:20.3,12.926,monaco,70.62
44,HAM,62,66,4,01:21.6,81.636,0.164,0.62,0.041,80.852,81.472,4.111,3,C2,MEDIUM,26,39.39393939,FALSE,0 days 01:59:36.856000,Mercedes,1,29:36.9,LEAD,LEAD!,spain,76.741
4,NOR,16,56,40,01:36.3,96.344,1.64,0.62,0.041,94.084,94.704,4.11,2,C3,MEDIUM,4,7.142857143,TRUE,0 days 01:04:15.544000,McLaren,1,34:15.6,34:14.9,0.703,bahrain,89.974
99,GIO,43,56,13,01:36.0,95.971,0.533,0.62,0.041,94.818,95.438,4.11,3,C3,MEDIUM,13,23.21428571,TRUE,0 days 01:48:29.910000,Alfa Romeo,1,18:29.9,18:27.3,2.621,bahrain,90.708
18,STR,22,71,49,01:11.4,71.401,2.009,0.62,0.041,68.772,69.392,4.109,1,C4,SOFT,25,35.21126761,FALSE,58:15.6,Aston Martin,1,28:15.6,28:04.3,11.316,austria,64.663
44,HAM,7,56,49,01:36.1,96.123,2.009,0.62,0.041,93.494,94.114,4.109,1,C3,MEDIUM,10,17.85714286,FALSE,49:15.3,Mercedes,1,19:15.3,19:13.8,1.54,bahrain,89.385
77,BOT,64,72,8,01:14.3,74.279,0.328,0.62,0.041,73.331,73.951,4.109,2,C2,MEDIUM,33,45.83333333,TRUE,0 days 02:21:33.601000,Mercedes,1,22:33.6,22:11.2,22.374,dutch,69.222
77,BOT,56,66,10,01:22.0,82.012,0.41,0.62,0.041,80.982,81.602,4.109,3,C3,SOFT,6,9.090909091,FALSE,0 days 01:51:55.896000,Mercedes,1,21:55.9,21:54.5,1.371,spain,76.873
22,TSU,49,71,22,01:10.1,70.144,0.902,0.62,0.041,68.622,69.242,4.108,2,C2,HARD,23,32.3943662,TRUE,0 days 01:30:23.947000,AlphaTauri,1,00:24.0,00:22.9,1.114,austria,64.514
4,NOR,48,56,8,01:35.0,95.03,0.328,0.62,0.041,94.082,94.702,4.108,3,C2,HARD,15,26.78571429,TRUE,0 days 01:55:42.442000,McLaren,1,25:42.5,25:18.7,23.784,bahrain,89.974
77,BOT,23,72,49,01:16.0,75.958,2.009,0.62,0.041,73.329,73.949,4.107,1,C3,SOFT,27,37.5,FALSE,0 days 01:29:55.611000,Mercedes,1,30:55.6,LEAD,LEAD!,dutch,69.222
55,SAI,66,66,0,01:22.3,82.347,0,0.62,0.041,81.727,82.347,4.107,3,C3,SOFT,23,34.84848485,FALSE,0 days 02:06:18.259000,Ferrari,1,36:18.3,36:17.3,0.992,spain,77.62
22,TSU,4,71,67,01:12.0,71.987,2.747,0.62,0.041,68.62,69.24,4.106,1,C4,SOFT,7,9.85915493,FALSE,36:50.6,AlphaTauri,1,06:50.6,06:49.9,0.655,austria,64.514
33,VER,66,71,5,01:08.8,68.772,0.205,0.62,0.041,67.947,68.567,4.106,2,C2,HARD,37,52.11267606,TRUE,0 days 01:48:29.656000,Red Bull,1,18:29.7,LEAD,LEAD!,austria,63.841
33,VER,47,56,9,01:34.1,94.092,0.369,0.62,0.041,93.103,93.723,4.106,3,C2,HARD,8,14.28571429,TRUE,0 days 01:53:30.004000,Red Bull,1,23:30.0,23:26.7,3.314,bahrain,88.997
4,NOR,64,71,7,01:09.1,69.132,0.287,0.62,0.041,68.225,68.845,4.105,2,C2,HARD,33,46.47887324,TRUE,0 days 01:47:25.958000,McLaren,1,17:26.0,17:02.3,23.752,austria,64.12
