DriverNumber,stint,LapNumber,Compound,Seconds,avg_Adj_LapTime_td,Adj_FB_TD,diff,race
4,1,27,SOFT,70.865,64.2883565776923,64.30104265,-0.0126860723076874,austria
4,1,28,SOFT,70.892,64.2883565776923,64.35090854,-0.062551962307694,austria
4,2,33,HARD,70.958,63.7500025788889,64.65140909,-0.901406511111126,austria
4,2,34,HARD,70.016,63.7500025788889,63.74011302,0.00988955888887233,austria
4,2,35,HARD,69.733,63.7500025788889,63.48781695,0.262185628888872,austria
4,2,36,HARD,69.75,63.7500025788889,63.53552087,0.214481708888876,austria
4,2,37,HARD,69.737,63.7500025788889,63.5532248,0.196777778888872,austria
4,2,38,HARD,69.758,63.7500025788889,63.60492873,0.145073848888877,austria
4,2,39,HARD,69.795,63.7500025788889,63.67263266,0.077369918888877,austria
4,2,40,HARD,69.742,63.7500025788889,63.65033658,0.0996659988888737,austria
4,2,41,HARD,69.915,63.7500025788889,63.85404051,-0.104037931111122,austria
4,1,11,SOFT,97.162,92.419689715,90.77918544,1.640504275,bahrain
4,1,12,SOFT,100.425,92.419689715,94.06019399,-1.640504275,bahrain
4,2,17,MEDIUM,96.239,90.0929286866667,89.45408552,0.638843166666646,bahrain
4,2,18,MEDIUM,96.045,90.0929286866667,89.3345535,0.758375186666655,bahrain
4,2,19,MEDIUM,96.084,90.0929286866667,89.44802148,0.644907206666659,bahrain
4,2,30,MEDIUM,96.417,90.0929286866667,90.60016923,-0.507240543333353,bahrain
4,2,31,MEDIUM,96.515,90.0929286866667,90.77263721,-0.679708523333346,bahrain
4,2,32,MEDIUM,96.616,90.0929286866667,90.94810518,-0.855176493333346,bahrain
4,3,35,HARD,94.899,89.54354267,89.28389334,0.259649330000002,bahrain
4,3,36,HARD,94.647,89.54354267,89.05983939,0.483703280000015,bahrain
4,3,39,HARD,94.629,89.54354267,89.12567754,0.41786513000001,bahrain
4,3,56,HARD,95.733,89.54354267,90.70476041,-1.16121774,bahrain
4,1,29,MEDIUM,76.28,70.37299013,69.91863446,0.454355669999998,dutch
4,1,30,MEDIUM,76.217,70.37299013,69.92266511,0.450325020000008,dutch
4,1,32,MEDIUM,76.457,70.37299013,70.29672641,0.07626372,dutch
4,1,39,MEDIUM,76.366,70.37299013,70.67494095,-0.301950820000002,dutch
4,1,40,MEDIUM,76.313,70.37299013,70.6889716,-0.315981469999997,dutch
4,1,41,MEDIUM,76.293,70.37299013,70.73600225,-0.363012119999993,dutch
4,2,48,HARD,74.236,69.040664375,68.46308281,0.577581565000003,dutch
4,2,49,HARD,74.278,69.040664375,68.53592973,0.504734644999999,dutch
4,2,50,HARD,74.384,69.040664375,68.67277666,0.367887715000009,dutch
4,2,69,HARD,75.616,69.040664375,70.4908683,-1.450203925,dutch
4,1,18,MEDIUM,99.936,93.965761825,93.96108063,0.00468119500000341,france
