code,circuit,gp,raceid,position,tm,ms,lap,box,accumulated
ALB,Red Bull Ring,Austrian Grand Prix,1031,4,1:11.677,71677,9,,563292
ALB,Red Bull Ring,Austrian Grand Prix,1031,4,1:10.495,70495,10,,634969
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:10.097,70097,11,,705464
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.883,69883,12,,775561
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.752,69752,13,,845444
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:10.010,70010,14,,915196
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:10.108,70108,15,,985206
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:10.082,70082,16,,1055314
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.823,69823,17,,1125396
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.907,69907,18,,1195219
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:10.085,70085,19,,1265126
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.947,69947,20,,1335211
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:10.102,70102,21,,1405158
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.896,69896,22,,1475260
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.997,69997,23,,1545156
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.935,69935,24,,1615153
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.919,69919,25,,1685088
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:27.164,87164,26,1,1755007
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:50.964,110964,27,,1929335
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:46.649,106649,28,,2040299
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:55.676,115676,29,,2146948
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:52.142,112142,30,,2262624
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:10.050,70050,31,,2374766
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.365,69365,32,,2444816
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.271,69271,33,,2514181
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:08.703,68703,34,,2583452
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:08.618,68618,35,,2652155
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:08.703,68703,36,,2720773
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:08.593,68593,37,,2789476
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:08.734,68734,38,,2858069
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:08.722,68722,39,,2926803
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:08.678,68678,40,,2995525
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:08.774,68774,41,,3064203
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:08.880,68880,42,,3132977
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.007,69007,43,,3201857
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:08.827,68827,44,,3270864
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.120,69120,45,,3339691
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:09.085,69085,46,,3408811
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:08.743,68743,47,,3477896
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:08.637,68637,48,,3546639
ALB,Red Bull Ring,Austrian Grand Prix,1031,3,1:08.584,68584,49,,3615276
